# Cortical regions: LUT Lausanne2008 - Scale 5 - Cammoun et al., JNeurosci 2012
# Subcortical regions: LUT FreeSurferColorLUT.txt,v 1.70.2.7
# Thalamus segmentation: custom LUT - RGb gradient


#No.	Label Name:								R	G	B	A

519		left-lateralorbitofrontal_13			35	75	48	0
520		left-lateralorbitofrontal_2				35	72	50	0
521		left-lateralorbitofrontal_16			35	75	52	0
522		left-lateralorbitofrontal_7				35	75	42	0
523		left-lateralorbitofrontal_10			35	75	45	0
524		left-lateralorbitofrontal_12			35	75	47	0
525		left-lateralorbitofrontal_14			35	75	49	0
526		left-lateralorbitofrontal_11			35	75	46	0
527		left-lateralorbitofrontal_8				35	75	43	0
528		left-lateralorbitofrontal_5				35	76	50	0
529		left-lateralorbitofrontal_1				35	75	50	0
530		left-lateralorbitofrontal_15			35	75	51	0
531		left-parsorbitalis_3					20	78	50	0
532		left-parsorbitalis_2					20	77	50	0
533		left-parsorbitalis_1					20	100	50	0
534		left-parsorbitalis_4					20	79	50	0
535		left-frontalpole_1						100	0	100	0
536		left-frontalpole_2						89	0	100	0
537		left-medialorbitofrontal_6				186	35	75	0
538		left-medialorbitofrontal_8				188	35	75	0
539		left-medialorbitofrontal_4				184	35	75	0
540		left-medialorbitofrontal_5				185	35	75	0
541		left-medialorbitofrontal_3				183	35	75	0
542		left-medialorbitofrontal_10				190	35	75	0
543		left-medialorbitofrontal_9				189	35	75	0
544		left-medialorbitofrontal_7				187	35	75	0
545		left-medialorbitofrontal_1				200	35	75	0
546		left-medialorbitofrontal_2				182	35	75	0
547		left-parstriangularis_3					213	60	20	0
548		left-parstriangularis_4					214	60	20	0
549		left-parstriangularis_7					217	60	20	0
550		left-parstriangularis_5					215	60	20	0
551		left-parstriangularis_6					216	60	20	0
552		left-parstriangularis_2					212	60	20	0
553		left-parstriangularis_1					220	60	20	0
554		left-parsopercularis_6					206	180	140	0
555		left-parsopercularis_7					207	180	140	0
556		left-parsopercularis_2					202	180	140	0
557		left-parsopercularis_9					209	180	140	0
558		left-parsopercularis_8					208	180	140	0
559		left-parsopercularis_4					204	180	140	0
560		left-parsopercularis_10					210	180	140	0
561		left-parsopercularis_3					203	180	140	0
562		left-parsopercularis_5					205	180	140	0
563		left-parsopercularis_1					220	180	140	0
564		left-rostralmiddlefrontal_17			75	44	125	0
565		left-rostralmiddlefrontal_15			75	42	125	0
566		left-rostralmiddlefrontal_13			79	50	125	0
567		left-rostralmiddlefrontal_9				74	50	125	0
568		left-rostralmiddlefrontal_19			75	46	125	0
569		left-rostralmiddlefrontal_16			75	43	125	0
570		left-rostralmiddlefrontal_6				71	50	125	0
571		left-rostralmiddlefrontal_22			75	49	125	0
572		left-rostralmiddlefrontal_4				75	50	124	0
573		left-rostralmiddlefrontal_26			75	54	125	0
574		left-rostralmiddlefrontal_18			75	45	125	0
575		left-rostralmiddlefrontal_24			75	52	125	0
576		left-rostralmiddlefrontal_5				75	50	126	0
577		left-rostralmiddlefrontal_10			76	50	125	0
578		left-rostralmiddlefrontal_21			75	48	125	0
579		left-rostralmiddlefrontal_23			75	51	125	0
580		left-rostralmiddlefrontal_12			78	50	125	0
581		left-rostralmiddlefrontal_11			77	50	125	0
582		left-rostralmiddlefrontal_8				73	50	125	0
583		left-rostralmiddlefrontal_20			75	47	125	0
584		left-rostralmiddlefrontal_7				72	50	125	0
585		left-rostralmiddlefrontal_14			75	41	125	0
586		left-rostralmiddlefrontal_3				75	50	123	0
587		left-rostralmiddlefrontal_2				75	50	122	0
588		left-rostralmiddlefrontal_25			75	53	125	0
589		left-rostralmiddlefrontal_1				75	50	125	0
590		left-superiorfrontal_11					20	203	160	0
591		left-superiorfrontal_32					20	220	145	0
592		left-superiorfrontal_8					20	200	160	0
593		left-superiorfrontal_14					20	206	160	0
594		left-superiorfrontal_16					20	208	160	0
595		left-superiorfrontal_10					20	202	160	0
596		left-superiorfrontal_35					20	220	148	0
597		left-superiorfrontal_42					20	220	155	0
598		left-superiorfrontal_24					20	216	160	0
599		left-superiorfrontal_39					20	220	152	0
600		left-superiorfrontal_23					20	215	160	0
601		left-superiorfrontal_9					20	201	160	0
602		left-superiorfrontal_1					20	220	160	0
603		left-superiorfrontal_38					20	220	151	0
604		left-superiorfrontal_45					20	220	158	0
605		left-superiorfrontal_12					20	204	160	0
606		left-superiorfrontal_4					20	196	160	0
607		left-superiorfrontal_21					20	213	160	0
608		left-superiorfrontal_29					20	220	142	0
609		left-superiorfrontal_44					20	220	157	0
610		left-superiorfrontal_19					20	211	160	0
611		left-superiorfrontal_30					20	220	143	0
612		left-superiorfrontal_28					20	220	141	0
613		left-superiorfrontal_22					20	214	160	0
614		left-superiorfrontal_27					20	219	160	0
615		left-superiorfrontal_20					20	212	160	0
616		left-superiorfrontal_37					20	220	150	0
617		left-superiorfrontal_40					20	220	153	0
618		left-superiorfrontal_36					20	220	149	0
619		left-superiorfrontal_7					20	199	160	0
620		left-superiorfrontal_2					20	194	160	0
621		left-superiorfrontal_18					20	210	160	0
622		left-superiorfrontal_34					20	220	147	0
623		left-superiorfrontal_33					20	220	146	0
624		left-superiorfrontal_3					20	195	160	0
